     1        2:1        1:0      +  *0.747  0.253
     2        1:0        1:0         *0.862  0.138
     3        1:0        1:0         *0.994  0.006
     4        1:0        2:1      +   0.025 *0.975
     5        1:0        1:0         *0.707  0.293
     6        1:0        1:0         *0.712  0.288
     7        1:0        1:0         *0.95   0.05 
     8        1:0        2:1      +   0.316 *0.684
     9        1:0        1:0         *0.815  0.185
    10        1:0        1:0         *0.987  0.013
    11        1:0        1:0         *0.877  0.123
    12        1:0        1:0         *0.933  0.067
    13        1:0        1:0         *0.989  0.011
    14        1:0        1:0         *0.964  0.036
    15        1:0        1:0         *0.84   0.16 
    16        1:0        1:0         *0.979  0.021
    17        1:0        1:0         *0.852  0.148
    18        1:0        1:0         *0.914  0.086
    19        1:0        1:0         *0.994  0.006
    20        1:0        1:0         *0.96   0.04 
    21        1:0        1:0         *0.99   0.01 
    22        1:0        1:0         *0.974  0.026
    23        1:0        1:0         *0.876  0.124
    24        1:0        1:0         *0.929  0.071
    25        1:0        1:0         *0.572  0.428
    26        1:0        1:0         *0.998  0.002
    27        1:0        1:0         *0.983  0.017
    28        1:0        1:0         *0.994  0.006
    29        1:0        1:0         *0.957  0.043
    30        1:0        1:0         *0.925  0.075
    31        1:0        1:0         *0.577  0.423
    32        1:0        1:0         *0.97   0.03 
    33        1:0        1:0         *0.842  0.158
    34        1:0        1:0         *0.513  0.487
    35        1:0        1:0         *0.98   0.02 
    36        1:0        1:0         *0.993  0.007
    37        1:0        1:0         *0.933  0.067
    38        1:0        1:0         *0.86   0.14 
    39        1:0        1:0         *0.986  0.014
    40        1:0        1:0         *0.985  0.015
    41        1:0        2:1      +   0.03  *0.97 
    42        1:0        1:0         *0.895  0.105
    43        1:0        1:0         *0.878  0.122
    44        1:0        2:1      +   0.475 *0.525
    45        1:0        1:0         *0.98   0.02 
    46        1:0        2:1      +   0.469 *0.531
    47        1:0        1:0         *0.762  0.238
    48        1:0        1:0         *0.992  0.008
    49        1:0        1:0         *0.878  0.122
    50        1:0        1:0         *0.998  0.002
    51        1:0        1:0         *0.991  0.009
    52        1:0        1:0         *0.998  0.002
    53        1:0        1:0         *0.992  0.008
    54        1:0        1:0         *0.972  0.028
    55        1:0        1:0         *0.996  0.004
    56        1:0        1:0         *0.997  0.003
    57        1:0        1:0         *0.948  0.052
    58        1:0        1:0         *0.875  0.125
    59        1:0        2:1      +   0.345 *0.655
    60        1:0        1:0         *0.992  0.008
    61        1:0        1:0         *0.612  0.388
    62        1:0        1:0         *0.882  0.118
    63        1:0        1:0         *0.998  0.002
    64        1:0        1:0         *0.567  0.433
    65        1:0        1:0         *0.542  0.458
    66        1:0        1:0         *0.937  0.063
    67        1:0        1:0         *0.849  0.151
    68        1:0        1:0         *0.989  0.011
    69        1:0        1:0         *0.98   0.02 
    70        1:0        1:0         *0.989  0.011
    71        1:0        1:0         *0.987  0.013
    72        1:0        2:1      +   0.103 *0.897
    73        1:0        1:0         *0.863  0.137
    74        1:0        1:0         *0.944  0.056
    75        1:0        2:1      +   0.238 *0.762
    76        1:0        1:0         *0.61   0.39 
    77        1:0        1:0         *0.951  0.049
    78        1:0        1:0         *0.995  0.005
    79        1:0        1:0         *0.976  0.024
    80        1:0        1:0         *0.88   0.12 
    81        1:0        2:1      +   0     *1    
    82        1:0        1:0         *0.894  0.106
    83        1:0        1:0         *0.986  0.014
    84        1:0        1:0         *0.984  0.016
    85        1:0        1:0         *0.989  0.011
    86        1:0        1:0         *0.994  0.006
    87        1:0        1:0         *0.878  0.122
    88        1:0        1:0         *0.978  0.022
    89        1:0        1:0         *0.98   0.02 
    90        1:0        1:0         *0.988  0.012
    91        1:0        2:1      +   0.038 *0.962
    92        1:0        1:0         *0.975  0.025
    93        1:0        2:1      +   0.139 *0.861
    94        1:0        1:0         *0.989  0.011
    95        1:0        2:1      +   0.276 *0.724
    96        1:0        1:0         *0.609  0.391
    97        1:0        1:0         *0.939  0.061
    98        1:0        2:1      +   0.256 *0.744
    99        1:0        1:0         *0.848  0.152
   100        1:0        1:0         *0.954  0.046
   101        1:0        1:0         *0.991  0.009
   102        1:0        1:0         *0.961  0.039
   103        1:0        1:0         *0.724  0.276
   104        1:0        1:0         *0.881  0.119
   105        1:0        1:0         *0.972  0.028
   106        1:0        1:0         *0.963  0.037
   107        1:0        1:0         *0.827  0.173
   108        1:0        1:0         *0.754  0.246
   109        1:0        1:0         *0.985  0.015
   110        1:0        2:1      +   0.158 *0.842
   111        1:0        1:0         *0.993  0.007
   112        1:0        2:1      +   0.418 *0.582
   113        1:0        1:0         *0.921  0.079
   114        1:0        2:1      +   0.359 *0.641
   115        1:0        1:0         *0.948  0.052
   116        1:0        1:0         *0.994  0.006
   117        1:0        1:0         *0.991  0.009
   118        1:0        1:0         *0.61   0.39 
   119        1:0        1:0         *0.993  0.007
   120        1:0        1:0         *0.933  0.067
   121        1:0        1:0         *0.989  0.011
   122        1:0        1:0         *0.967  0.033
   123        1:0        1:0         *0.931  0.069
   124        1:0        2:1      +   0.3   *0.7  
